13;114.167786,22.563984,114.16755,22.564016,114.16755,22.563984,114.16752,22.56405,114.16758,22.56405,114.16769,22.564034,114.16795,22.563984,114.1683,22.563883,114.16827,22.563868,114.16785,22.563967,114.166916,22.5642,114.165886,22.564283,114.1654,22.5643,114.16468,22.564333
23;114.14835,22.555616,114.150314,22.555834,114.15125,22.555866,114.15142,22.554583,114.15127,22.5526,114.15083,22.551216,114.14955,22.550533,114.14927,22.548384,114.149734,22.5466,114.14917,22.545218,114.1485,22.544582,114.14845,22.544567,114.14851,22.544582,114.1481,22.5442,114.14702,22.5438,114.14574,22.544184,114.14463,22.544382,114.14287,22.544268,114.1413,22.5433,114.139534,22.543617,114.138466,22.54405,114.13807,22.544268,114.13823,22.5448,114.13873,22.5454
26;114.120514,22.546883,114.12065,22.546917,114.12145,22.547033,114.123314,22.547367,114.125565,22.547733,114.12648,22.547882,114.12846,22.548166,114.13078,22.54855,114.13303,22.548866,114.134,22.548967,114.13395,22.548634,114.13412,22.548683,114.13417,22.5487,114.13402,22.548767,114.13398,22.548717,114.133965,22.548767,114.134,22.548782,114.13403,22.548767,114.134,22.548834,114.13395,22.548817,114.134186,22.549084,114.135216,22.54915,114.1352,22.549517,114.13437,22.549482,114.13372,22.5494,114.13364,22.5497,114.13355,22.550182
16;114.13145,22.56195,114.13205,22.561632,114.13353,22.560083,114.13485,22.558683,114.13602,22.557467,114.13797,22.556017,114.14065,22.555733,114.14345,22.5554,114.14375,22.554234,114.143486,22.552633,114.14345,22.552633,114.14355,22.55245,114.144585,22.55255,114.14571,22.553633,114.14637,22.55425,114.14587,22.557117,114.1482,22.55975
2;114.11311,22.545767,114.11591,22.546267,114.11697,22.546383
10;114.1231,22.548532,114.12307,22.54845,114.12258,22.550333,114.12257,22.55025,114.12258,22.550266,114.12255,22.550333,114.12262,22.550432,114.12252,22.550716,114.12237,22.55115,114.12215,22.55165,114.122215,22.551884
7;114.044334,22.55015,114.044464,22.550217,114.044334,22.550182,114.04435,22.55015,114.044365,22.55015,114.0443,22.550167,114.044266,22.550182,114.04432,22.55015,114.04428,22.550266
8;114.05058,22.551117,114.054886,22.551184,114.05832,22.551233,114.05855,22.55105,114.05852,22.550966,114.05812,22.549717,114.05828,22.550333,114.058685,22.5508,114.06002,22.551216
29;114.0677,22.569767,114.06752,22.571133,114.06755,22.572866,114.06737,22.573982,114.0653,22.576767,114.0626,22.577932,114.059715,22.578318,114.057465,22.578632,114.05705,22.57875,114.05507,22.58085,114.05417,22.582582,114.053986,22.582968,114.05188,22.588417,114.0506,22.589417,114.049416,22.590668,114.04784,22.593317,114.0468,22.595333,114.0461,22.597082,114.0449,22.599266,114.04363,22.600918,114.04348,22.602167,114.0443,22.606934,114.044716,22.610033,114.04483,22.613033,114.04465,22.61595,114.0442,22.618917,114.04353,22.622032,114.04303,22.624582,114.04287,22.627184,114.043015,22.62995
9;114.046684,22.638783,114.04757,22.6402,114.04888,22.64255,114.049934,22.64625,114.05005,22.648867,114.049965,22.65025,114.04982,22.6532,114.04975,22.6557,114.0497,22.657867,114.049835,22.660133
9;114.062584,22.6392,114.0625,22.639233,114.062515,22.63925,114.06257,22.63925,114.06278,22.638983,114.063835,22.639668,114.0644,22.64095,114.0655,22.64215,114.0668,22.64305,114.0681,22.643967
14;114.09995,22.628366,114.099915,22.628366,114.0999,22.628366,114.09998,22.62835,114.10004,22.628384,114.09998,22.628384,114.09995,22.628332,114.10008,22.628233,114.100334,22.628,114.10038,22.627968,114.10052,22.62785,114.10049,22.627832,114.10052,22.627832,114.1005,22.627817,114.10049,22.6278
1;114.0761,22.55095,114.07612,22.550934
3;114.0995,22.56155,114.09955,22.561684,114.099464,22.5616,114.09938,22.561583
1;114.082985,22.558367,114.0821,22.55835
12;114.07155,22.558184,114.0681,22.55815,114.068085,22.55815,114.068115,22.558132,114.068085,22.558117,114.068085,22.5581,114.068085,22.55815,114.06803,22.55815,114.06762,22.557417,114.0676,22.557383,114.0677,22.555817,114.06775,22.553568,114.06775,22.552017,114.06775,22.5508
9;114.03018,22.5407,114.027466,22.540268,114.02462,22.539717,114.02171,22.539183,114.01957,22.5389,114.017136,22.538517,114.0132,22.53785,114.01235,22.537733,114.01051,22.537567,114.00882,22.537268
10;114.03048,22.546932,114.03308,22.547733,114.034134,22.54805,114.03412,22.548018,114.03445,22.548134,114.0343,22.549267,114.0339,22.555967,114.034065,22.555933,114.03415,22.55595,114.03515,22.556868,114.036,22.55765
62;114.0585,22.566517,114.06125,22.567833,114.06415,22.568583,114.067,22.568867,114.070015,22.569366,114.072235,22.569733,114.07425,22.5709,114.076515,22.572218,114.07933,22.572666,114.08207,22.572033,114.08413,22.570868,114.08542,22.5692,114.0862,22.567583,114.08797,22.566633,114.090034,22.56715,114.092285,22.567717,114.094666,22.56825,114.09705,22.569166,114.099464,22.570232,114.10233,22.571917,114.10488,22.573517,114.1075,22.575083,114.11007,22.576384,114.112015,22.576532,114.11625,22.57655,114.119415,22.576616,114.12252,22.576668,114.12558,22.57705,114.128586,22.57745,114.1314,22.5775,114.13402,22.576668,114.137,22.575583,114.13838,22.57365,114.13795,22.57105,114.13727,22.568333,114.137665,22.56575,114.13969,22.563517,114.14073,22.560966,114.1401,22.558634,114.13955,22.556417,114.13876,22.554867,114.13918,22.5559,114.14165,22.555683,114.1444,22.555416,114.1471,22.555483,114.149734,22.555883,114.151634,22.5565,114.153534,22.557867,114.15508,22.559134,114.157364,22.560883,114.16019,22.5622,114.16312,22.5627,114.16615,22.562767,114.1684,22.5628,114.17198,22.56285,114.17458,22.5622,114.176865,22.56055,114.17883,22.5591,114.182465,22.556618,114.18487,22.556116,114.18502,22.5561,114.189316,22.55585,114.19227,22.556334
19;114.22013,22.557083,114.22269,22.556967,114.224266,22.556717,114.227,22.556383,114.228966,22.556168,114.22967,22.556433,114.23147,22.557417,114.233185,22.558332,114.234215,22.558933,114.234184,22.558916,114.23417,22.558933,114.23475,22.559532,114.23621,22.561016,114.23775,22.562384,114.238365,22.562616,114.23828,22.562616,114.23832,22.562634,114.238365,22.5626,114.239136,22.563032,114.24085,22.563683
17;114.113235,22.60415,114.113266,22.60455,114.11305,22.605083,114.11245,22.60645,114.11177,22.607468,114.11103,22.6086,114.11065,22.609083,114.11065,22.609217,114.11052,22.60915,114.11042,22.609417,114.1096,22.610167,114.10917,22.610518,114.109184,22.610518,114.10917,22.6105,114.108765,22.610533,114.10875,22.610533,114.10847,22.6108,114.107834,22.610867
9;114.090416,22.562782,114.09035,22.562933,114.08965,22.563683,114.08967,22.564484,114.09065,22.564533,114.09067,22.56345,114.09068,22.562366,114.09077,22.561417,114.09135,22.56135,114.09323,22.561417
11;114.10273,22.5877,114.10267,22.5876,114.103035,22.588034,114.10468,22.589,114.10561,22.589968,114.105,22.589466,114.10357,22.588318,114.102165,22.5871,114.10098,22.5854,114.10125,22.5833,114.100815,22.581266,114.09998,22.579233
11;114.10725,22.5736,114.10788,22.572582,114.107864,22.572582,114.1079,22.572218,114.10825,22.572083,114.10875,22.572067,114.10882,22.572083,114.10762,22.5729,114.10712,22.574383,114.10706,22.574633,114.10945,22.575933,114.11187,22.5763
26;114.122,22.556833,114.123436,22.555283,114.125,22.553482,114.12572,22.552267,114.12563,22.550516,114.12569,22.549816,114.12566,22.549784,114.12563,22.549833,114.12565,22.549583,114.12577,22.548166,114.12582,22.548082,114.12587,22.546984,114.12562,22.545116,114.125,22.54515,114.124985,22.545168,114.124985,22.5452,114.12468,22.545134,114.12317,22.545067,114.12241,22.545017,114.12247,22.545067,114.12247,22.545017,114.12196,22.5448,114.121216,22.543432,114.1205,22.5424,114.1201,22.541918,114.11945,22.542334,114.1193,22.54245
20;114.06804,22.547472,114.06804,22.547464,114.06803,22.547491,114.06804,22.547464,114.06803,22.547464,114.06801,22.54814,114.06798,22.550488,114.06798,22.550817,114.06797,22.551144,114.0679,22.553434,114.06784,22.556568,114.06835,22.557997,114.0709,22.558008,114.07422,22.558111,114.07754,22.558092,114.07992,22.557997,114.082054,22.558907,114.08358,22.561394,114.08512,22.563652,114.086655,22.565718,114.08899,22.566738,114.09195,22.567503,114.0949,22.56825
12;114.09787,22.56945,114.10052,22.570812,114.103745,22.572832,114.106926,22.574718,114.10976,22.576227,114.1129,22.576406,114.11556,22.576412,114.11702,22.576353,114.11816,22.57595,114.11738,22.57571,114.11659,22.57717,114.115654,22.578947,114.11494,22.580708
59;114.114944,22.589083,114.1149,22.590101,114.11486,22.590113,114.11487,22.590115,114.11486,22.590096,114.11486,22.590075,114.11485,22.590055,114.1149,22.589123,114.11458,22.588667,114.11456,22.58809,114.11392,22.587753,114.113914,22.587482,114.11462,22.586687,114.1146,22.585907,114.113434,22.585169,114.1122,22.584381,114.11176,22.585255,114.11223,22.585354,114.11325,22.583975,114.11433,22.58181,114.11505,22.579527,114.11325,22.583975,114.11626,22.577398,114.117424,22.575207,114.117744,22.572784,114.117615,22.57034,114.11761,22.568626,114.11679,22.56827,114.1162,22.567036,114.115585,22.565006,114.114044,22.56392,114.11442,22.561848,114.11493,22.559797,114.115555,22.55778,114.11556,22.55696,114.11557,22.556957,114.11558,22.556957,114.1156,22.55675,114.115555,22.55642,114.11552,22.556032,114.115326,22.55459,114.1155,22.555508,114.11565,22.557274,114.1155,22.555508,114.11516,22.559233,114.114586,22.56128,114.1141,22.563305,114.115166,22.56452,114.11602,22.566055,114.11665,22.56809,114.118576,22.568378,114.12108,22.568895,114.121605,22.568394,114.1217,22.567413,114.12187,22.566074,114.12202,22.564892,114.12213,22.564102,114.12219,22.563595,114.12227,22.563175,114.12221,22.563635,114.12221,22.563637,114.12221,22.563639,114.12221,22.56364,114.12221,22.563639
24;114.12222,22.56366,114.122215,22.564081,114.12207,22.565033,114.12186,22.566362,114.121796,22.566828,114.12148,22.566944,114.12041,22.566805,114.11957,22.565998,114.119026,22.565693,114.11822,22.565928,114.11788,22.568281,114.119026,22.565693,114.11781,22.570417,114.1185,22.570868,114.12013,22.570986,114.1203,22.570084,114.1204,22.568954,114.11844,22.568457,114.115746,22.567944,114.113205,22.56639,114.110435,22.566416,114.10767,22.566788,114.10764,22.567366,114.107704,22.56799,114.10769,22.568985,114.10764,22.568892
18;114.07676,22.549074,114.076004,22.548227,114.076126,22.546776,114.07614,22.54323,114.07631,22.542957,114.07803,22.542965,114.07869,22.54231,114.07855,22.541187,114.07826,22.540253,114.07763,22.540169,114.07755,22.539585,114.07751,22.539,114.07751,22.538267,114.077415,22.537872,114.07738,22.53761,114.07738,22.537193,114.07733,22.536713,114.077194,22.536236,114.07715,22.536028
7;114.10408,22.537933,114.10682,22.536959,114.10979,22.53765,114.11313,22.538141,114.116264,22.539192,114.11782,22.537838,114.11985,22.538214,114.12242,22.539951
15;114.12875,22.543627,114.13188,22.5453,114.134415,22.5469,114.13642,22.549644,114.138245,22.552328,114.13944,22.554607,114.140205,22.556723,114.1401,22.555943,114.13787,22.556173,114.13609,22.557491,114.13523,22.558252,114.13638,22.557009,114.136604,22.55672,114.136894,22.556433,114.13765,22.55558,114.138504,22.554688
4;114.13211,22.549038,114.13023,22.548708,114.1277,22.548298,114.12611,22.548021,114.12611,22.54802
26;114.125984,22.547993,114.1242,22.547691,114.12352,22.547619,114.123505,22.547607,114.12186,22.547342,114.119255,22.546902,114.117226,22.546568,114.11722,22.546574,114.117226,22.546577,114.11722,22.54658,114.11723,22.546574,114.11721,22.546522,114.11848,22.546667,114.11974,22.546543,114.11992,22.545633,114.11998,22.54528,114.12001,22.545216,114.12,22.54513,114.120155,22.544685,114.12022,22.544483,114.12023,22.544477,114.120155,22.544685,114.120224,22.544477,114.120224,22.54448,114.12027,22.544437,114.1203,22.544317,114.12029,22.544243,114.12071,22.54375,114.12099,22.543692,114.12059,22.542677,114.119606,22.542137,114.11839,22.543161,114.11821,22.543406
